Year,Month,Day,Time,Hour,Minute,Second,Azimuth,Elevation,Velocity,Altitude,Distance
2023,10,5,7:47:40 PM,19,47,40,277.2,0.5,4.8,238,1267
2023,10,5,7:47:50 PM,19,47,50,277.3,1.1,4.8,238,1224
2023,10,5,7:48:00 PM,19,48,0,277.5,1.8,4.8,238,1181
2023,10,5,7:48:10 PM,19,48,10,277.7,2.5,4.8,238,1138
2023,10,5,7:48:20 PM,19,48,20,277.9,3.2,4.8,237,1095
2023,10,5,7:48:30 PM,19,48,30,278.1,4,4.8,237,1052
2023,10,5,7:48:40 PM,19,48,40,278.3,4.8,4.8,237,1009
2023,10,5,7:48:50 PM,19,48,50,278.6,5.6,4.8,237,966
2023,10,5,7:49:00 PM,19,49,0,278.9,6.6,4.8,237,919
2023,10,5,7:49:10 PM,19,49,10,279.1,7.4,4.8,237,885
2023,10,5,7:49:20 PM,19,49,20,279.5,8.5,4.8,237,838
2023,10,5,7:49:30 PM,19,49,30,279.8,9.5,4.8,237,795
2023,10,5,7:49:40 PM,19,49,40,280.2,10.7,4.8,237,753
2023,10,5,7:49:50 PM,19,49,50,280.6,11.9,4.8,237,715
2023,10,5,7:50:00 PM,19,50,0,281.1,13.2,4.8,237,673
2023,10,5,7:50:10 PM,19,50,10,281.7,14.9,4.8,237,627
2023,10,5,7:50:20 PM,19,50,20,282.3,16.6,4.8,237,586
2023,10,5,7:50:30 PM,19,50,30,283.1,18.5,4.8,237,545
2023,10,5,7:50:40 PM,19,50,40,284,20.7,4.8,237,505
2023,10,5,7:50:50 PM,19,50,50,285.1,23.2,4.8,237,466
2023,10,5,7:51:00 PM,19,51,0,286.4,26.1,4.8,237,427
2023,10,5,7:51:10 PM,19,51,10,288,29.4,4.8,237,390
2023,10,5,7:51:20 PM,19,51,20,290.1,33.3,4.8,237,354
2023,10,5,7:51:30 PM,19,51,30,293,38,4.8,237,321
2023,10,5,7:51:40 PM,19,51,40,297,43.5,4.8,237,290
2023,10,5,7:51:50 PM,19,51,50,303,50,4.8,237,263
2023,10,5,7:52:00 PM,19,52,0,312.5,57.1,4.8,237,242
2023,10,5,7:52:10 PM,19,52,10,328.9,64,4.8,237,227
2023,10,5,7:52:20 PM,19,52,20,355.8,68.1,4.8,237,220
2023,10,5,7:52:30 PM,19,52,30,26.7,66.8,4.8,236,222
2023,10,5,7:52:40 PM,19,52,40,50.2,60.3,4.8,236,234
2023,10,5,7:52:50 PM,19,52,50,61.4,53.8,4.8,236,250
2023,10,5,7:53:00 PM,19,53,0,69,46.9,4.8,236,275
2023,10,5,7:53:10 PM,19,53,10,73.9,40.8,4.8,236,303
2023,10,5,7:53:20 PM,19,53,20,77.3,35.7,4.8,236,335
2023,10,5,7:53:30 PM,19,53,30,79.8,31.4,4.8,236,370
2023,10,5,7:53:40 PM,19,53,40,81.7,27.7,4.8,236,406
2023,10,5,7:53:50 PM,19,53,50,83.2,24.6,4.8,236,444
2023,10,5,7:54:00 PM,19,54,0,84.4,21.9,4.8,236,483
2023,10,5,7:54:10 PM,19,54,10,85.4,19.6,4.8,236,523
2023,10,5,7:54:20 PM,19,54,20,86.2,17.5,4.8,236,564
2023,10,5,7:54:30 PM,19,54,30,86.9,15.7,4.8,236,605
2023,10,5,7:54:40 PM,19,54,40,87.5,14.1,4.8,236,646
2023,10,5,7:54:50 PM,19,54,50,88,12.6,4.8,236,688
2023,10,5,7:55:00 PM,19,55,0,88.5,11.3,4.8,235,730
2023,10,5,7:55:10 PM,19,55,10,88.9,10,4.8,235,772
2023,10,5,7:55:20 PM,19,55,20,89.3,8.9,4.8,235,814
2023,10,5,7:55:30 PM,19,55,30,89.6,7.9,4.8,235,857
2023,10,5,7:55:40 PM,19,55,40,89.9,6.9,4.8,235,899
2023,10,5,7:55:50 PM,19,55,50,90.2,6,4.8,235,942
2023,10,5,7:56:00 PM,19,56,0,90.5,5.1,4.8,235,985
2023,10,5,7:56:10 PM,19,56,10,90.7,4.3,4.8,235,1028
2023,10,5,7:56:20 PM,19,56,20,90.9,3.5,4.8,235,1071
2023,10,5,7:56:30 PM,19,56,30,91.1,2.7,4.8,235,1114
2023,10,5,7:56:40 PM,19,56,40,91.3,2,4.8,235,1157
2023,10,5,7:56:50 PM,19,56,50,91.5,1.3,4.8,235,1200
2023,10,5,7:57:00 PM,19,57,0,91.7,0.7,4.8,235,1243
